['AURG', 'AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE', 'GHATKESAR', 'MDL', 'COED', 'PVT', '2003', 'MEC', 'MECHANICAL ENGINEERING', '66218', '66218', '76284', '76284', '83792', '83792', '66218', '66218', '66218', '66218', '66218', '66218', '66218', '66218', '66218', '66218', '60000', 'JNTUH'],
['AURP', 'AURORAS TECHNOLOGICAL AND  RESEARCH INSTITUTE', 'PARVATHAPUR', 'MDL', 'COED', 'PVT', '1999', 'CIV', 'CIVIL ENGINEERING', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91427', '91427', '91347', '91347', '72000', 'JNTUH'],
['AURP', 'AURORAS TECHNOLOGICAL AND  RESEARCH INSTITUTE', 'PARVATHAPUR', 'MDL', 'COED', 'PVT', '1999', 'CSE', 'COMPUTER SCIENCE  AND  ENGINEERING', '41916', '41916', '82068', '82068', '65057', '65849', '81585', '81585', '53957', '55122', '78567', '86937', '91192', '91192', '79190', '79190', '72000', 'JNTUH'],
['AURP', 'AURORAS TECHNOLOGICAL AND  RESEARCH INSTITUTE', 'PARVATHAPUR', 'MDL', 'COED', 'PVT', '1999', 'ECE', 'ELECTRONICS AND COMMUNICATION ENGINEERING', '68263', '68263', '81999', '83954', '86858', '87199', '68263', '68263', '73263', '76379', '68263', '68263', '89788', '90349', '68263', '68263', '72000', 'JNTUH'],
['AURP', 'AURORAS TECHNOLOGICAL AND  RESEARCH INSTITUTE', 'PARVATHAPUR', 'MDL', 'COED', 'PVT', '1999', 'EEE', 'ELECTRICAL AND ELECTRONICS ENGINEERING', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '72000', 'JNTUH'],
['AURP', 'AURORAS TECHNOLOGICAL AND  RESEARCH INSTITUTE', 'PARVATHAPUR', 'MDL', 'COED', 'PVT', '1999', 'INF', 'INFORMATION TECHNOLOGY', '50285', '50561', '73308', '78926', '75137', '75703', '50285', '50561', '60784', '73206', '77692', '79772', '53192', '53192', '55064', '55064', '72000', 'JNTUH'],
['AURP', 'AURORAS TECHNOLOGICAL AND  RESEARCH INSTITUTE', 'PARVATHAPUR', 'MDL', 'COED', 'PVT', '1999', 'MEC', 'MECHANICAL ENGINEERING', '63051', '63051', '87313', '87313', '66329', '66329', '63051', '63051', '63051', '63051', '63051', '63051', '63445', '63445', '63051', '63051', '72000', 'JNTUH'],
['AVIH', 'AVANTHI INST OF ENGG AND TECHNOLOGY', 'HAYATHNAGAR', 'RR', 'COED', 'PVT', '2005', 'CSE', 'COMPUTER SCIENCE  AND  ENGINEERING', '48469', '49685', '82761', '86216', '68477', '68477', '57118', '57118', '56700', '62981', '68873', '68873', '90687', '90687', '52580', '54111', '65000', 'JNTUH'],
['AVIH', 'AVANTHI INST OF ENGG AND TECHNOLOGY', 'HAYATHNAGAR', 'RR', 'COED', 'PVT', '2005', 'ECE', 'ELECTRONICS AND COMMUNICATION ENGINEERING', '83288', '86451', '88918', '88918', '83994', '86451', '83288', '86451', '83288', '86451', '83288', '86451', '90320', '90320', '83288', '86451', '65000', 'JNTUH'],
['AVIH', 'AVANTHI INST OF ENGG AND TECHNOLOGY', 'HAYATHNAGAR', 'RR', 'COED', 'PVT', '2005', 'EEE', 'ELECTRICAL AND ELECTRONICS ENGINEERING', '69473', '69473', '69473', '69473', '69473', '77828', '69473', '69473', '88270', '88270', '69473', '69473', '90787', '90787', '80111', '84075', '65000', 'JNTUH'],
['AVIH', 'AVANTHI INST OF ENGG AND TECHNOLOGY', 'HAYATHNAGAR', 'RR', 'COED', 'PVT', '2005', 'MEC', 'MECHANICAL ENGINEERING', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '65000', 'JNTUH'],
['AVNI', 'AVN INST OF ENGG TECHNOLOGY', 'IBRAHIMPATAN', 'RR', 'COED', 'PVT', '2009', 'CIV', 'CIVIL ENGINEERING', '88547', '88547', '88547', '88547', '88547', '88547', '88547', '88547', '88547', '88547', '88547', '88547', '90730', '90730', '88547', '90461', '78000', 'JNTUH'],
['AVNI', 'AVN INST OF ENGG TECHNOLOGY', 'IBRAHIMPATAN', 'RR', 'COED', 'PVT', '2009', 'CSE', 'COMPUTER SCIENCE  AND  ENGINEERING', '45257', '45257', '74838', '74838', '56827', '63541', '55204', '55204', '56060', '56060', '56523', '56523', '90771', '90771', '86104', '91424', '78000', 'JNTUH'],
['AVNI', 'AVN INST OF ENGG TECHNOLOGY', 'IBRAHIMPATAN', 'RR', 'COED', 'PVT', '2009', 'ECE', 'ELECTRONICS AND COMMUNICATION ENGINEERING', '63583', '63583', '86121', '90751', '79794', '90661', '63583', '83291', '80270', '84716', '75663', '75720', '89686', '89686', '77807', '77807', '78000', 'JNTUH'],
['AVNI', 'AVN INST OF ENGG TECHNOLOGY', 'IBRAHIMPATAN', 'RR', 'COED', 'PVT', '2009', 'MEC', 'MECHANICAL ENGINEERING', '44174', '44174', '44174', '44174', '44174', '44174', '44174', '44174', '80255', '80255', '44174', '44174', '90248', '90248', '44174', '44174', '78000', 'JNTUH'],
['BIET', 'BHARAT INSTITUTE OF ENGG AND TECHNOLOGY', 'IBRAHIMPATNAM', 'RR', 'COED', 'PVT', '2001', 'CIV', 'CIVIL ENGINEERING', '76971', '76971', '76971', '76971', '82459', '85124', '76971', '76971', '76971', '76971', '76971', '76971', '87213', '87213', '89012', '89012', '89000', 'JNTUH'],
['BIET', 'BHARAT INSTITUTE OF ENGG AND TECHNOLOGY', 'IBRAHIMPATNAM', 'RR', 'COED', 'PVT', '2001', 'CSE', 'COMPUTER SCIENCE  AND  ENGINEERING', '35219', '35219', '89157', '89157', '49614', '50589', '46610', '89847', '46255', '46255', '68573', '81977', '90759', '90759', '90096', '91072', '89000', 'JNTUH'],
